year,age,name,movie,gender
1927,22,Janet Gaynor,"Seventh Heaven, Street Angel and Sunrise: A Song of Two Humans",f
1927,44,Emil Jannings,"Seventh Heaven, Street Angel and Sunrise: A Song of Two Humans",m
1928,41,Warner Baxter,Coquette,m
1928,37,Mary Pickford,Coquette,f
1929,62,George Arliss,The Divorcee,m
1929,28,Norma Shearer,The Divorcee,f
1930,63,Marie Dressler,Min and Bill,f
1930,53,Lionel Barrymore,Min and Bill,m
1931,32,Helen Hayes,The Sin of Madelon Claudet,f
1931,47,Wallace Beery,The Sin of Madelon Claudet,m
1932,35,Fredric March,Morning Glory,m
1932,26,Katharine Hepburn,Morning Glory,f
1933,31,Claudette Colbert,It Happened One Night,f
1933,34,Charles Laughton,It Happened One Night,m
1934,34,Clark Gable,Dangerous,m
1934,27,Bette Davis,Dangerous,f
1935,49,Victor McLaglen,The Great Ziegfeld,m
1935,27,Luise Rainer,The Great Ziegfeld,f
1936,28,Luise Rainer,The Good Earth,f
1936,41,Paul Muni,The Good Earth,m
1937,30,Bette Davis,Jezebel,f
1937,37,Spencer Tracy,Jezebel,m
1938,38,Spencer Tracy,Gone with the Wind,m
1938,26,Vivien Leigh,Gone with the Wind,f
1939,34,Robert Donat,Kitty Foyle,m
1939,29,Ginger Rogers,Kitty Foyle,f
1940,32,James Stewart,Suspicion,m
1940,24,Joan Fontaine,Suspicion,f
1941,38,Greer Garson,Mrs. Miniver,f
1941,40,Gary Cooper,Mrs. Miniver,m
1942,25,Jennifer Jones,The Song of Bernadette,f
1942,43,James Cagney,The Song of Bernadette,m
1943,48,Paul Lukas,Gaslight,m
1943,29,Ingrid Bergman,Gaslight,f
1944,40,Joan Crawford,Mildred Pierce,f
1944,41,Bing Crosby,Mildred Pierce,m
1945,30,Olivia de Havilland,To Each His Own,f
1945,39,Ray Milland,To Each His Own,m
1946,35,Loretta Young,The Farmer's Daughter,f
1946,49,Fredric March,The Farmer's Daughter,m
1947,32,Jane Wyman,Johnny Belinda,f
1947,57,Ronald Colman,Johnny Belinda,m
1948,33,Olivia de Havilland,The Heiress,f
1948,41,Laurence Olivier,The Heiress,m
1949,29,Judy Holliday,Born Yesterday,f
1949,38,Broderick Crawford,Born Yesterday,m
1950,38,Vivien Leigh,A Streetcar Named Desire,f
1950,39,José Ferrer,A Streetcar Named Desire,m
1951,54,Shirley Booth,"Come Back, Little Sheba",f
1951,52,Humphrey Bogart,"Come Back, Little Sheba",m
1952,51,Gary Cooper,Roman Holiday,m
1952,24,Audrey Hepburn,Roman Holiday,f
1953,25,Grace Kelly,The Country Girl,f
1953,35,William Holden,The Country Girl,m
1954,30,Marlon Brando,The Rose Tattoo,m
1954,48,Anna Magnani,The Rose Tattoo,f
1955,39,Ernest Borgnine,Anastasia,m
1955,41,Ingrid Bergman,Anastasia,f
1956,36,Yul Brynner,The Three Faces of Eve,m
1956,28,Joanne Woodward,The Three Faces of Eve,f
1957,41,Susan Hayward,I Want to Live!,f
1957,43,Alec Guinness,I Want to Live!,m
1958,49,David Niven,Room at the Top,m
1958,39,Simone Signoret,Room at the Top,f
1959,36,Charlton Heston,BUtterfield 8,m
1959,29,Elizabeth Taylor,BUtterfield 8,f
1960,47,Burt Lancaster,Two Women,m
1960,27,Sophia Loren,Two Women,f
1961,31,Maximilian Schell,The Miracle Worker,m
1961,31,Anne Bancroft,The Miracle Worker,f
1962,31,Patricia Neal,Hud,f
1962,47,Gregory Peck,Hud,m
1963,29,Julie Andrews,Mary Poppins,f
1963,37,Sidney Poitier,Mary Poppins,m
1964,57,Rex Harrison,Darling,m
1964,25,Julie Christie,Darling,f
1965,35,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,f
1965,42,Lee Marvin,Who's Afraid of Virginia Woolf?,m
1966,60,Katharine Hepburn,Guess Who's Coming to Dinner,f
1966,45,Paul Scofield,Guess Who's Coming to Dinner,m
1967,61,Katharine Hepburn,The Lion in Winter,f
1967,42,Rod Steiger,The Lion in Winter,m
1968,26,Barbra Streisand,Funny Girl,f
1968,45,Cliff Robertson,Funny Girl,m
1969,62,John Wayne,The Prime of Miss Jean Brodie,m
1969,35,Maggie Smith,The Prime of Miss Jean Brodie,f
1970,43,George C. Scott,Women in Love,m
1970,34,Glenda Jackson,Women in Love,f
1971,34,Jane Fonda,Klute,f
1971,42,Gene Hackman,Klute,m
1972,48,Marlon Brando,Cabaret,m
1972,27,Liza Minnelli,Cabaret,f
1973,49,Jack Lemmon,A Touch of Class,m
1973,37,Glenda Jackson,A Touch of Class,f
1974,56,Art Carney,Alice Doesn't Live Here Anymore,m
1974,42,Ellen Burstyn,Alice Doesn't Live Here Anymore,f
1975,38,Jack Nicholson,One Flew Over the Cuckoo's Nest,m
1975,41,Louise Fletcher,One Flew Over the Cuckoo's Nest,f
1976,60,Peter Finch,Network,m
1976,36,Faye Dunaway,Network,f
1977,32,Diane Keaton,Annie Hall,f
1977,30,Richard Dreyfuss,Annie Hall,m
1978,40,Jon Voight,Coming Home,m
1978,41,Jane Fonda,Coming Home,f
1979,33,Sally Field,Norma Rae,f
1979,42,Dustin Hoffman,Norma Rae,m
1980,31,Sissy Spacek,Coal Miner's Daughter,f
1980,37,Robert De Niro,Coal Miner's Daughter,m
1981,74,Katharine Hepburn,On Golden Pond,f
1981,76,Henry Fonda,On Golden Pond,m
1982,39,Ben Kingsley,Sophie's Choice,m
1982,33,Meryl Streep,Sophie's Choice,f
1983,49,Shirley MacLaine,Terms of Endearment,f
1983,53,Robert Duvall,Terms of Endearment,m
1984,38,Sally Field,Places in the Heart,f
1984,45,F. Murray Abraham,Places in the Heart,m
1985,61,Geraldine Page,The Trip to Bountiful,f
1985,36,William Hurt,The Trip to Bountiful,m
1986,21,Marlee Matlin,Children of a Lesser God,f
1986,62,Paul Newman,Children of a Lesser God,m
1987,41,Cher,Moonstruck,f
1987,43,Michael Douglas,Moonstruck,m
1988,26,Jodie Foster,The Accused,f
1988,51,Dustin Hoffman,The Accused,m
1989,80,Jessica Tandy,Driving Miss Daisy,f
1989,32,Daniel Day-Lewis,Driving Miss Daisy,m
1990,42,Kathy Bates,Misery,f
1990,42,Jeremy Irons,Misery,m
1991,54,Anthony Hopkins,The Silence of the Lambs,m
1991,29,Jodie Foster,The Silence of the Lambs,f
1992,52,Al Pacino,Howards End,m
1992,33,Emma Thompson,Howards End,f
1993,36,Holly Hunter,The Piano,f
1993,37,Tom Hanks,The Piano,m
1994,45,Jessica Lange,Blue Sky,f
1994,38,Tom Hanks,Blue Sky,m
1995,49,Susan Sarandon,Dead Man Walking,f
1995,32,Nicolas Cage,Dead Man Walking,m
1996,45,Geoffrey Rush,Fargo,m
1996,39,Frances McDormand,Fargo,f
1997,34,Helen Hunt,As Good as It Gets,f
1997,60,Jack Nicholson,As Good as It Gets,m
1998,46,Roberto Benigni,Shakespeare in Love,m
1998,26,Gwyneth Paltrow,Shakespeare in Love,f
1999,25,Hilary Swank,Boys Don't Cry,f
1999,40,Kevin Spacey,Boys Don't Cry,m
2000,36,Russell Crowe,Erin Brockovich,m
2000,33,Julia Roberts,Erin Brockovich,f
2001,35,Halle Berry,Monster's Ball,f
2001,47,Denzel Washington,Monster's Ball,m
2002,29,Adrien Brody,The Hours,m
2002,35,Nicole Kidman,The Hours,f
2003,43,Sean Penn,Monster,m
2003,28,Charlize Theron,Monster,f
2004,37,Jamie Foxx,Million Dollar Baby,m
2004,30,Hilary Swank,Million Dollar Baby,f
2005,29,Reese Witherspoon,Walk the Line,f
2005,38,Philip Seymour Hoffman,Walk the Line,m
2006,45,Forest Whitaker,The Queen,m
2006,61,Helen Mirren,The Queen,f
2007,50,Daniel Day-Lewis,La Vie en rose,m
2007,32,Marion Cotillard,La Vie en rose,f
2008,48,Sean Penn,The Reader,m
2008,33,Kate Winslet,The Reader,f
2009,45,Sandra Bullock,The Blind Side,f
2009,60,Jeff Bridges,The Blind Side,m
2010,50,Colin Firth,Black Swan,m
2010,29,Natalie Portman,Black Swan,f
2011,39,Jean Dujardin,The Iron Lady,m
2011,62,Meryl Streep,The Iron Lady,f
2012,55,Daniel Day-Lewis,Silver Linings Playbook,m
2012,22,Jennifer Lawrence,Silver Linings Playbook,f
2013,44,Matthew McConaughey,Blue Jasmine,m
2013,44,Cate Blanchett,Blue Jasmine,f
2014,33,Eddie Redmayne,Still Alice,m
2014,54,Julianne Moore,Still Alice,f
2015,41,Leonardo DiCaprio,Room,m
2015,26,Brie Larson,Room,f
2016,41,Casey Affleck,La La Land,m
2016,28,Emma Stone,La La Land,f
2017,60,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",f
2017,59,Gary Oldman,"Three Billboards Outside Ebbing, Missouri",m
2018,37,Rami Malek,The Favourite,m
2018,44,Olivia Colman,The Favourite,f
2019,45,Joaquin Phoenix,Judy,m
2019,50,Renée Zellweger,Judy,f
2020,83,Anthony Hopkins,Nomadland,m
2020,63,Frances McDormand,Nomadland,f
2021,53,Will Smith,The Eyes of Tammy Faye,m
2021,44,Jessica Chastain,The Eyes of Tammy Faye,f
2022,60,Michelle Yeoh,Everything Everywhere All at Once,f
2022,54,Brendan Fraser,Everything Everywhere All at Once,m
